9,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,N
6,1,2,3,1,1,2,2,0,0,0,0,1,0,0,0,0,0,N
5,3,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,P
5,0,1,1,0,0,1,1,1,0,2,1,1,0,0,0,0,0,N
4,1,1,0,1,4,2,1,0,0,1,0,0,0,0,0,0,0,P
8,1,1,2,0,2,2,1,1,1,1,1,0,0,0,0,0,0,N
4,0,1,1,2,0,0,0,0,1,1,0,0,1,0,0,0,0,P
3,3,3,2,2,2,0,1,0,1,0,0,0,0,0,0,0,0,N
4,2,1,1,0,2,1,1,1,0,1,1,0,0,0,0,0,0,N
4,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,N
7,2,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,N
11,3,1,2,0,1,0,0,1,2,1,0,0,0,0,0,0,0,P
7,2,1,3,2,2,1,0,0,0,1,1,0,0,0,0,0,0,P
6,2,1,1,1,0,1,0,0,0,2,1,0,0,0,0,0,0,N
6,5,2,2,1,2,0,2,0,0,1,1,0,0,0,0,0,0,P
11,5,2,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,P
6,4,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,N
3,1,3,0,1,1,2,0,0,1,0,0,0,1,0,0,0,0,N
3,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,P
3,1,2,1,1,2,0,2,0,2,0,0,0,0,0,0,0,0,NEU
6,3,3,3,2,1,0,0,1,1,0,0,1,0,0,0,0,0,N
3,4,0,3,1,2,2,4,0,0,3,3,0,1,0,0,0,0,N
2,1,1,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,NEU
6,3,3,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,P
2,1,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,P
5,5,0,2,1,1,0,2,2,0,1,1,0,2,1,0,0,0,N
6,1,2,0,1,2,0,4,0,0,1,1,1,0,0,0,0,0,N
4,0,2,2,2,0,1,0,0,0,0,0,0,0,1,1,0,0,N
5,0,0,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0,P
6,2,2,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,P
5,4,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,N
5,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,N
5,3,0,2,1,1,1,0,1,0,1,1,0,0,0,0,0,0,N
3,0,2,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,N
